Looking for PortfolioManager address starting with 0x40Ac2e...
(Case-insensitive: will match 0x40Ac2e, 0x40ac2e, 0x40AC2E, etc.)
Deployer address: 0x40FecA5f7156030b78200450852792ea93f7c6cd
Generating bytecode...
Bytecode hash: 0x6bacbee0128635d7bcd8eaf92b8a47421f98d9bb390060519ed422713ef074e3
Starting search...
Target prefix: 0x40Ac2e... (first 6 hex characters, case-insensitive)
Press Ctrl+C to stop

Attempts: 20,700,000 | Speed: 1152/s | Current: 0x8396c399bad7bbdae8094fa523f2fc0edb143cb0
Attempts: 20,800,000 | Speed: 1152/s | Current: 0x5beebb9db25e34c2e63dd639f34e6ac660de42b2
Attempts: 20,900,000 | Speed: 1152/s | Current: 0xa24faa1a388386e26d614e2ff1eca66d30f0b421
Attempts: 21,000,000 | Speed: 1152/s | Current: 0xc965c947b7d818c1d1ab583abb9fb8687dc47f06
Attempts: 21,100,000 | Speed: 1152/s | Current: 0xfee3bea2e34e88374cf41c70bd9e8e634909316c
Attempts: 21,200,000 | Speed: 1152/s | Current: 0x01133632cfd361cad7d65cd95390e83368fe79a1
Attempts: 21,300,000 | Speed: 1152/s | Current: 0x872f4804cb574cfdf35761b01f56523db41ee5b7
Attempts: 21,400,000 | Speed: 1152/s | Current: 0xe33471da5a974462a0cf931f1ed01f7a67d6be55
Attempts: 21,500,000 | Speed: 1152/s | Current: 0x3263ba53989ece9aa37161159a86feb3cc8fba64
Attempts: 21,600,000 | Speed: 1152/s | Current: 0x855ff7372cb6d3a2d665ca49b24895468b8a444e
Attempts: 21,700,000 | Speed: 1152/s | Current: 0xd65ff67e5cc10c6cb465948034d882a468da2648
Attempts: 21,800,000 | Speed: 1152/s | Current: 0x26b87947298632ad9ef463a88a1f1257c681684c
Attempts: 21,900,000 | Speed: 1152/s | Current: 0xe47cc965d0d88453403af01b482ff1c57ecd3fe9
Attempts: 22,000,000 | Speed: 1152/s | Current: 0x8a79754f3d051b76cff7f2013a4005ba212ca204
Attempts: 22,100,000 | Speed: 1152/s | Current: 0xa490d5a24d55177b5a9bb5fb4967f50330aed5c7
Attempts: 22,200,000 | Speed: 1152/s | Current: 0xed6e8f70ea9e79f989aaecbd6298a97fa7f674fd
Attempts: 22,300,000 | Speed: 1152/s | Current: 0xfafd5ce4c63b0a0b12dadcd15685aaf812061348
Attempts: 22,400,000 | Speed: 1152/s | Current: 0xa080c11a6ae43fde5687c836ffaa427e05cca8aa
Attempts: 22,500,000 | Speed: 1152/s | Current: 0x5d81374cddc242b8a11d4a2ab7bbfbf133e50a93
Attempts: 22,600,000 | Speed: 1152/s | Current: 0x373306abf3c7de79de52e4de163602a6f7fa8350
Attempts: 22,700,000 | Speed: 1152/s | Current: 0xaf8441e7672ef78db8d93e0ff67fb8e673aa0f8b
